# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences
1f3c3;1f3c3_200d_2642 # RUNNER -> man running
1f3c3_1f3fb;1f3c3_1f3fb_200d_2642 # light skin tone
1f3c3_1f3fc;1f3c3_1f3fc_200d_2642 # medium-light skin tone
1f3c3_1f3fd;1f3c3_1f3fd_200d_2642 # medium skin tone
1f3c3_1f3fe;1f3c3_1f3fe_200d_2642 # medium-dark skin tone
1f3c3_1f3ff;1f3c3_1f3ff_200d_2642 # dark skin tone
1f3c4;1f3c4_200d_2642 # SURFER -> man surfing
1f3c4_1f3fb;1f3c4_1f3fb_200d_2642 # light skin tone
1f3c4_1f3fc;1f3c4_1f3fc_200d_2642 # medium-light skin tone
1f3c4_1f3fd;1f3c4_1f3fd_200d_2642 # medium skin tone
1f3c4_1f3fe;1f3c4_1f3fe_200d_2642 # medium-dark skin tone
1f3c4_1f3ff;1f3c4_1f3ff_200d_2642 # dark skin tone
1f3ca;1f3ca_200d_2642 # SWIMMER -> man swimming
1f3ca_1f3fb;1f3ca_1f3fb_200d_2642 # light skin tone
1f3ca_1f3fc;1f3ca_1f3fc_200d_2642 # medium-light skin tone
1f3ca_1f3fd;1f3ca_1f3fd_200d_2642 # medium skin tone
1f3ca_1f3fe;1f3ca_1f3fe_200d_2642 # medium-dark skin tone
1f3ca_1f3ff;1f3ca_1f3ff_200d_2642 # dark skin tone
1f3cb;1f3cb_200d_2642 # WEIGHT LIFTER -> man lifting weights
1f3cb_1f3fb;1f3cb_1f3fb_200d_2642 # light skin tone
1f3cb_1f3fc;1f3cb_1f3fc_200d_2642 # medium-light skin tone
1f3cb_1f3fd;1f3cb_1f3fd_200d_2642 # medium skin tone
1f3cb_1f3fe;1f3cb_1f3fe_200d_2642 # medium-dark skin tone
1f3cb_1f3ff;1f3cb_1f3ff_200d_2642 # dark skin tone
1f3cc;1f3cc_200d_2642 # GOLFER -> man golfing
1f3cc_1f3fb;1f3cc_1f3fb_200d_2642 # light skin tone
1f3cc_1f3fc;1f3cc_1f3fc_200d_2642 # medium-light skin tone
1f3cc_1f3fd;1f3cc_1f3fd_200d_2642 # medium skin tone
1f3cc_1f3fe;1f3cc_1f3fe_200d_2642 # medium-dark skin tone
1f3cc_1f3ff;1f3cc_1f3ff_200d_2642 # dark skin tone
1f46a;1f468_200d_1f469_200d_1f466 # FAMILY -> family: man, woman, boy
1f46e;1f46e_200d_2642 # POLICE OFFICER -> man police officer
1f46e_1f3fb;1f46e_1f3fb_200d_2642 # light skin tone
1f46e_1f3fc;1f46e_1f3fc_200d_2642 # medium-light skin tone
1f46e_1f3fd;1f46e_1f3fd_200d_2642 # medium skin tone
1f46e_1f3fe;1f46e_1f3fe_200d_2642 # medium-dark skin tone
1f46e_1f3ff;1f46e_1f3ff_200d_2642 # dark skin tone
1f46f;1f46f_200d_2640 # WOMAN WITH BUNNY EARS -> women with bunny ears partying
1f471;1f471_200d_2642 # PERSON WITH BLOND HAIR -> blond-haired man
1f471_1f3fb;1f471_1f3fb_200d_2642 # light skin tone
1f471_1f3fc;1f471_1f3fc_200d_2642 # medium-light skin tone
1f471_1f3fd;1f471_1f3fd_200d_2642 # medium skin tone
1f471_1f3fe;1f471_1f3fe_200d_2642 # medium-dark skin tone
1f471_1f3ff;1f471_1f3ff_200d_2642 # dark skin tone
1f473;1f473_200d_2642 # MAN WITH TURBAN -> man wearing turban
1f473_1f3fb;1f473_1f3fb_200d_2642 # light skin tone
1f473_1f3fc;1f473_1f3fc_200d_2642 # medium-light skin tone
1f473_1f3fd;1f473_1f3fd_200d_2642 # medium skin tone
1f473_1f3fe;1f473_1f3fe_200d_2642 # medium-dark skin tone
1f473_1f3ff;1f473_1f3ff_200d_2642 # dark skin tone
1f477;1f477_200d_2642 # CONSTRUCTION WORKER -> man construction worker
1f477_1f3fb;1f477_1f3fb_200d_2642 # light skin tone
1f477_1f3fc;1f477_1f3fc_200d_2642 # medium-light skin tone
1f477_1f3fd;1f477_1f3fd_200d_2642 # medium skin tone
1f477_1f3fe;1f477_1f3fe_200d_2642 # medium-dark skin tone
1f477_1f3ff;1f477_1f3ff_200d_2642 # dark skin tone
1f481;1f481_200d_2640 # INFORMATION DESK PERSON -> woman tipping hand
1f481_1f3fb;1f481_1f3fb_200d_2640 # light skin tone
1f481_1f3fc;1f481_1f3fc_200d_2640 # medium-light skin tone
1f481_1f3fd;1f481_1f3fd_200d_2640 # medium skin tone
1f481_1f3fe;1f481_1f3fe_200d_2640 # medium-dark skin tone
1f481_1f3ff;1f481_1f3ff_200d_2640 # dark skin tone
1f482;1f482_200d_2642 # GUARDSMAN -> man guard
1f482_1f3fb;1f482_1f3fb_200d_2642 # light skin tone
1f482_1f3fc;1f482_1f3fc_200d_2642 # medium-light skin tone
1f482_1f3fd;1f482_1f3fd_200d_2642 # medium skin tone
1f482_1f3fe;1f482_1f3fe_200d_2642 # medium-dark skin tone
